0,44.79,40.71,999,999,999,999,999,999,999,999,999,999,999,999,999,35.69,999,999,66.46,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
44.79,0,29.55,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,55.21,999,999,999,999,999,999,999,999,999,999,34.48,999,999,999,999,999,999
40.71,29.55,0,30.6,999,37.9,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
999,999,30.6,0,37.25,48.32,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
999,999,999,37.25,0,999,999,999,999,999,999,999,999,999,999,999,999,999,63,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
999,999,37.9,48.32,999,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
999,999,999,999,999,999,0,999,999,999,999,999,999,999,999,999,999,999,999,19.35,999,999,999,999,999,999,999,999,999,34.69,29.96,999,999,999,999,999,999
999,999,999,999,999,999,999,0,37.82,48.51,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,37.61,999,999,999,999,999,999,999
999,999,999,999,999,999,999,37.82,0,45.31,999,999,999,999,999,999,999,999,999,999,47.35,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
999,999,999,999,999,999,999,48.51,999,0,19.63,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
999,999,999,999,999,999,999,999,999,19.63,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
999,999,999,999,999,999,999,999,999,999,999,0,42.1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,94.87,999,999,999,21.95,21.47,999,999,999,999
999,999,999,999,999,999,999,999,999,999,999,42.1,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
999,999,999,999,999,999,999,999,999,999,999,999,999,0,30.6,999,999,999,999,999,999,999,999,999,999,999,63.4,36.57,999,999,999,999,999,999,999,999,999
999,999,999,999,999,999,999,999,999,999,999,999,999,30.6,0,999,999,999,999,999,999,999,999,999,53.62,999,999,999,999,999,999,53.42,999,999,999,999,999
999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,34.6,35.2,999
35.69,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,0,999,999,71.04,999,999,999,999,999,69.32,999,999,52.71,999,999,999,999,999,999,999,999
999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,0,22.6,999,999,999,999,999,999,43.14,999,999,999,999,999,999,999,999,999,999,999
999,999,999,999,63,999,999,999,999,999,999,999,999,999,999,999,999,22.6,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
66.46,55.21,999,999,999,999,19.35,999,999,999,999,999,999,999,999,999,71.04,999,999,0,999,999,999,999,999,999,999,999,999,999,31.87,999,999,999,999,999,999
999,999,999,999,999,999,999,999,47.35,999,999,999,999,999,999,999,999,999,999,999,0,999,999,999,999,999,999,999,41.57,58.88,999,999,999,999,999,999,999
999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,0,35.06,999,96.5,999,999,999,999,999,999,999,999,25.41,999,999,42.23
999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,35.06,0,999,999,999,30.76,999,999,999,999,999,999,999,999,999,999
999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,0,999,999,999,999,999,999,999,999,999,52.81,999,33.8,34.12
999,999,999,999,999,999,999,999,999,999,999,999,999,999,53.62,999,999,999,999,999,999,96.5,999,999,0,999,999,999,999,999,999,49.98,999,999,999,999,71.73
999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,69.32,43.14,999,999,999,999,999,999,999,0,27.1,999,999,999,999,999,999,999,999,999,999
999,999,999,999,999,999,999,999,999,999,999,999,999,63.4,999,999,999,999,999,999,999,999,30.76,999,999,27.1,0,999,999,999,999,999,999,999,55.15,999,999
999,999,999,999,999,999,999,999,999,999,999,94.87,999,36.57,999,999,999,999,999,999,999,999,999,999,999,999,999,0,25.56,999,999,999,999,999,999,999,999
999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,52.71,999,999,999,41.57,999,999,999,999,999,999,25.56,0,999,999,999,999,999,999,999,999
999,999,999,999,999,999,34.69,37.61,999,999,999,999,999,999,999,999,999,999,999,999,58.88,999,999,999,999,999,999,999,999,0,999,999,999,999,999,999,999
999,34.48,999,999,999,999,29.96,999,999,999,999,999,999,999,999,999,999,999,999,31.87,999,999,999,999,999,999,999,999,999,999,0,999,999,999,999,999,999
999,999,999,999,999,999,999,999,999,999,999,21.95,999,999,53.42,999,999,999,999,999,999,999,999,999,49.98,999,999,999,999,999,999,0,999,999,999,999,999
999,999,999,999,999,999,999,999,999,999,999,21.47,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,0,999,999,999,999
999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,25.41,999,52.81,999,999,999,999,999,999,999,999,999,0,41.71,999,999
999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,34.6,999,999,999,999,999,999,999,999,999,999,55.15,999,999,999,999,999,999,41.71,0,999,999
999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,35.2,999,999,999,999,999,999,999,33.8,999,999,999,999,999,999,999,999,999,999,999,0,999
999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,42.23,999,34.12,71.73,999,999,999,999,999,999,999,999,999,999,999,0